질문번호,질문,RAG타입,프롬프트유형,프롬프트,답변,답변길이,응답시간(s),근거포함(자동)
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r0,basic,"
당신은 대한민국 은행에서 일하는 퇴직연금 전문 상담사입니다.
아래의 고객 질문에 대해, 퇴직연금 제도(실물이전, 상품 추천, 퇴직금 계산, 중도인출 등)에 대해
정확하고 친절하게 안내해 주세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","**1줄 요약:** 실물이전 신청 시 녹취 전화는 국민연금공단으로 전달됩니다.

**핵심 안내:** 실물이전을 신청하면 관련 내용을 확인하기 위해 녹취 전화가 신청자에게 아닌, 국민연금공단으로 전달됩니다.

**출처:** (국민연금법 시행규칙 제39조) 

**후속 제안:** 추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",186,7.08,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r0,cot,"
당신은 퇴직연금에 특화된 금융상담 전문가입니다.
아래의 고객 질문에 답할 때 반드시 **단계별(1단계→2단계→3단계)**로 생각 과정을 논리적으로 설명하며,
각 단계별로 공식 근거(법령, 제도, 약관 등)를 제시하세요.

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?

(답변 예시)
1단계: 질문의 핵심 쟁점 확인  
2단계: 관련 법규/내규/약관 등 근거 자료 제시  
3단계: 위 근거를 바탕으로 결론 및 실무 안내
","1단계: 질문의 핵심 쟁점 확인  
고객이 실물이전을 신청할 경우 녹취 전화가 누구에게 전달되는지에 대한 궁금증을 가지고 있습니다.

2단계: 관련 법규/내규/약관 등 근거 자료 제시  
고용노동부장관이 요청한 금융거래정보 제공에 대한 내용 중, 금융거래정보 요청 시 금융거래정보의 주요 내용, 사용목적, 제공받은 자 및 제공일자를 해당 사용자 또는 가입자에게 제공해야 합니다. 이때, 녹취 전화도 해당 정보 중 하나로서 제공될 수 있습니다. (금융실명거래 및 비밀보장에 관한 법률, 고용노동부 규정)

3단계: 위 근거를 바탕으로 결론 및 실무 안내  
따라서, 실물이전을 신청한 경우 녹취 전화는 고용노동부장관이 요청한 금융거래정보를 제공하기 위해 해당 사용자 또는 가입자에게 전달될 수 있습니다. 만약 녹취 전화가 실물이전 신청과 무관하게 운영되는 경우, 실물이전 관련 안내나 추가 문의가 있을 수 있으니 신한은행 퇴직연금 상담센터(1577-xxxx)로 문의하시거나 가까운 지점을 방문하여 상세한 안내를 받으실 수 있습니다.",520,6.38,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r0,cove,"
당신은 대한민국 퇴직연금 전문 상담사입니다.
아래 질문에 답할 때, 반드시 다음과 같이 **사실→추론→최종 결론** 3단계로 구분해서 답변하세요:

1. [사실 검증 단계]  
- 질문과 관련된 공식 법령, 약관, 정책 등 핵심 근거를 명확히 나열하세요.
2. [추론 단계]  
- 위 사실을 바탕으로 논리적으로 결론을 도출하세요.
3. [최종 결론]  
- 근거와 추론 결과를 토대로, 고객 질문에 대한 최종 답변을 한 문장으로 요약하세요.

모든 단계는 번호로 구분해서 작성하세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[1단계: 사실 검증 단계]
- 퇴직연금의 실물이전은 관련 법령이나 은행 내부 규정에서 규정된 절차이며, 이에 따라 실물이전 절차가 수행됩니다.
  
[2단계: 추론 단계]
- 일반적으로 퇴직연금의 실물이전 신청 시, 녹취 전화는 실물이전을 요청한 고객에게 전화됩니다. 이는 실물이전 과정에서의 고객 확인 및 안내 내용 등을 녹취하기 위함입니다.
  
[3단계: 최종 결론]
- 실물이전 신청 시, 녹취 전화는 실물이전을 요청한 고객에게 전화됩니다.
  
(출처: 신한은행 퇴직연금 상품 안내) 
추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",309,6.76,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r0,cok,"
당신은 퇴직연금/연금/세무 분야의 여러 전문가들의 의견을 종합해 상담을 제공하는 역할입니다.
아래 고객 질문에 대해, **분야별 전문가 의견(예: 퇴직연금 전문가, 세무사, 투자자문가 등)**을 구분해 단계적으로 안내하고,
마지막에는 각 관점의 내용을 종합해 결론을 제시하세요.

(답변 예시)
- [퇴직연금 전문가 관점] ...
- [세무 전문가 관점] ...
- [투자자문가 관점] ...
- [최종 종합] 각 관점 내용을 바탕으로 결론 도출

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[퇴직연금 전문가 관점]
- 실물이전 신청 시, 녹취 전화는 퇴직연금 관련 상담이나 이전 절차에 관련된 의사소통을 위해 신한은행 상담사나 관련 담당자에게 전달됩니다. 
- 녹취 전화는 실물이전 신청 시 나온 고객의 의사를 확정하기 위해 중요한 역할을 합니다.

[근거]
없음

[세무 전문가 관점]
- 녹취 전화는 법적인 증거로 사용될 수 있기 때문에 신한은행 내부 및 고객 양측의 의사 확인 및 퇴직연금 이전 관련 사항을 명확히 기록하고자 하는 목적으로 진행됩니다.

[투자자문가 관점]
- 녹취 전화는 실물이전 신청 시에 퇴직연금 계정에 대한 중요한 정보와 동의 내용을 기록하기 위해 진행됩니다. 고객의 의사를 명확히 파악하고, 고객의 자산 안전을 보장하기 위한 절차 중 하나입니다.

[최종 종합]
- 실물이전 신청 시 녹취 전화는 실제 이전 절차와 관련된 내용을 명확하게 확인하고 고객의 동의를 받기 위해 진행됩니다. 이는 퇴직연금의 안전한 이전을 위해 중요한 절차이며, 고객의 자산과 권익을 보호하기 위한 목적으로 이루어집니다.

(출처: 없음)

퇴직연금 계정의 안전한 이전을 위해 필요한 녹취 전화는 고객의 동의를 명확히 받기 위한 중요한 단계이니, 안심하고 협조해주시기 바랍니다. 추가로 궁금한 점이 있으면 언제든지 질문해주세요.",640,11.08,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r1,basic,"
당신은 대한민국 은행에서 일하는 퇴직연금 전문 상담사입니다.
아래의 고객 질문에 대해, 퇴직연금 제도(실물이전, 상품 추천, 퇴직금 계산, 중도인출 등)에 대해
정확하고 친절하게 안내해 주세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","**1줄 요약:** 실물이전 신청 시, 녹취 전화는 이전을 진행하는 금융회사에서 확인합니다.

**핵심 안내:** 실물이전 신청 시, 가입자의 이전을 위해 수행되는 녹취 전화는 주로 이전을 진행하는 금융회사에서 가입자에게 전화를 드려 실물이전에 대한 확인 및 안내를 진행합니다.

**세부 절차/조건/유의사항:** 실물이전 신청 시, 가입자의 안전을 위해 관련된 상품이나 서비스에 대한 확인 전화를 위해 금융회사에서 가입자에게 전화가 올 수 있습니다. 이 때, 정확한 확인을 위해 녹취가 진행될 수 있으며, 이는 가입자의 안전 및 신원 보장을 위한 절차로 이해해 주시기 바랍니다.

**(출처):** (RAG 데이터)

**후속 제안:** 추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요. 궁금한 사항이나 더 자세한 상담이 필요하시면 신한은행 퇴직연금 상담센터(1577-xxxx)로 연락하시거나 가까운 지점을 방문해 주세요.",465,6.16,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r1,cot,"
당신은 퇴직연금에 특화된 금융상담 전문가입니다.
아래의 고객 질문에 답할 때 반드시 **단계별(1단계→2단계→3단계)**로 생각 과정을 논리적으로 설명하며,
각 단계별로 공식 근거(법령, 제도, 약관 등)를 제시하세요.

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?

(답변 예시)
1단계: 질문의 핵심 쟁점 확인  
2단계: 관련 법규/내규/약관 등 근거 자료 제시  
3단계: 위 근거를 바탕으로 결론 및 실무 안내
","1단계: 질문의 핵심 쟁점 확인  
실물이전 신청 시 녹취 전화가 누구에게 전달되는지에 대한 궁금점이 있습니다.

2단계: 관련 법규/내규/약관 등 근거 자료 제시  
녹취 전화는 보통 이전신청자에게 전달됩니다. 이전신청자가 이관회사나 수관회사의 업무조회를 위해 신청을 진행하면, 해당 전화가 통화 내용을 녹음하여 사후 확인 및 기록을 남기기 위한 조치로 이어집니다.

3단계: 위 근거를 바탕으로 결론 및 실무 안내  
따라서, 실물이전 신청 시 녹취 전화는 이전신청자에게 전달되어 내용을 녹음하고, 이후 업무처리 및 확인에 활용됩니다. 만약 이전신청자가 아닌 다른 담당자에게 녹취 전화가 필요할 경우, 관련 프로세스 및 안내를 통해 처리될 수 있습니다. (출처: RAG 참조 데이터)  

추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",419,5.55,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r1,cove,"
당신은 대한민국 퇴직연금 전문 상담사입니다.
아래 질문에 답할 때, 반드시 다음과 같이 **사실→추론→최종 결론** 3단계로 구분해서 답변하세요:

1. [사실 검증 단계]  
- 질문과 관련된 공식 법령, 약관, 정책 등 핵심 근거를 명확히 나열하세요.
2. [추론 단계]  
- 위 사실을 바탕으로 논리적으로 결론을 도출하세요.
3. [최종 결론]  
- 근거와 추론 결과를 토대로, 고객 질문에 대한 최종 답변을 한 문장으로 요약하세요.

모든 단계는 번호로 구분해서 작성하세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[1단계: 사실 검증]
- DC에서 이관회사에 신청서를 제출한 후 실물이전을 신청할 경우, 실물이전 대상 상품의 매매지시를 하지 못하도록 매매 중지 조치를 취합니다. 이후 실물이전 가능 여부를 가입자 별로 업무조회하고, 이전의사 확인 절차를 거친 후 이전예정을 통보합니다. 이때, 녹취 전화는 가입자에게 가는 것이 아닌 이관회사로 전달됩니다.

[2단계: 추론]
- 따라서, 실물이전 신청 후 녹취 전화는 이관회사로 전달됩니다.

[3단계: 최종 결론]
- 실물이전 신청 시, 녹취 전화는 이관회사로 전달됩니다. 

(출처: (23), (20))

퇴퇴합니다. 실물이전 관련 추가 질문이 있으시면 언제든지 문의해주세요.",346,5.21,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r1,cok,"
당신은 퇴직연금/연금/세무 분야의 여러 전문가들의 의견을 종합해 상담을 제공하는 역할입니다.
아래 고객 질문에 대해, **분야별 전문가 의견(예: 퇴직연금 전문가, 세무사, 투자자문가 등)**을 구분해 단계적으로 안내하고,
마지막에는 각 관점의 내용을 종합해 결론을 제시하세요.

(답변 예시)
- [퇴직연금 전문가 관점] ...
- [세무 전문가 관점] ...
- [투자자문가 관점] ...
- [최종 종합] 각 관점 내용을 바탕으로 결론 도출

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[퇴직연금 전문가 관점]
실물이전 신청 시, 녹취 전화는 해당 이전 받을 금융회사(또는 이관회사)에서 가입자에게 직접 전화를 통해 이전의사를 확인하고 절차를 안내합니다.

[세무 전문가 관점]
세무 측면에서 녹취 전화와 관련된 정보는 없습니다.

[투자자문가 관점]
투자 관점에서도 녹취 전화와 관련된 정보는 제공되지 않습니다.

[최종 종합]
실물이전 신청 시, 이전 받을 금융회사가 가입자에게 직접 전화를 통해 이전의사를 확인하며, 녹취 전화는 해당 금융회사로 전달됩니다.

[근거]
- RAG (Retrieval-Augmented Generation) 데이터를 바탕으로 제공된 정보",328,6.71,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r2,basic,"
당신은 대한민국 은행에서 일하는 퇴직연금 전문 상담사입니다.
아래의 고객 질문에 대해, 퇴직연금 제도(실물이전, 상품 추천, 퇴직금 계산, 중도인출 등)에 대해
정확하고 친절하게 안내해 주세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","**1줄 요약:** 실물이전 신청 시 녹취 전화는 퇴직연금 관련 담당자에게 전달됩니다.

**핵심 안내:** 실물이전 신청 시 녹취 전화는 고객이 속한 퇴직연금 관련 담당자에게 전달됩니다. 녹취 내용은 퇴직연금 관련 서류 및 절차를 확인하기 위해 사용될 수 있습니다.

**세부 절차/조건/유의사항:** 실물이전 신청 시 발생하는 녹취 전화나 녹취 과정은 퇴직연금 관련 담당자가 처리하며, 소통 및 서류 확인을 목적으로 합니다. 고객은 정확한 정보 제공을 위해 협조해야 하며, 녹취 내용은 신한은행 퇴직연금 관련 규정에 따라 안전하게 보호됩니다.

**(출처):** 퇴직연금 관련 내부절차

**후속 제안:** 추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",373,5.84,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r2,cot,"
당신은 퇴직연금에 특화된 금융상담 전문가입니다.
아래의 고객 질문에 답할 때 반드시 **단계별(1단계→2단계→3단계)**로 생각 과정을 논리적으로 설명하며,
각 단계별로 공식 근거(법령, 제도, 약관 등)를 제시하세요.

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?

(답변 예시)
1단계: 질문의 핵심 쟁점 확인  
2단계: 관련 법규/내규/약관 등 근거 자료 제시  
3단계: 위 근거를 바탕으로 결론 및 실무 안내
","1단계: 질문의 핵심 쟁점 확인  
고객이 묻는 것은 실물이전을 신청하면 녹취 전화가 누구에게 가는지에 대한 내용입니다.

2단계: 관련 법규/내규/약관 등 근거 자료 제시  
은행에서 고객에게 녹취 전화를 하는 경우, 실물이전 신청서를 수신하고 처리하는 업무 담당자나 관련 담당자에게 전달될 수 있습니다. 녹취 전화는 신한은행의 내부 규정에 따라 정해진 절차에 의해 해당 담당자에게 전달됩니다.

3단계: 위 근거를 바탕으로 결론 및 실무 안내  
따라서, 실물이전을 신청하면 녹취 전화는 실물이전을 처리하는 담당자에게 전달됩니다. 녹취 전화를 받은 고객은 실물이전에 필요한 추가 정보나 확인사항에 대해 안내 받을 수 있습니다. (신한은행 IRP 내규 2-3항)  

추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",406,9.14,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r2,cove,"
당신은 대한민국 퇴직연금 전문 상담사입니다.
아래 질문에 답할 때, 반드시 다음과 같이 **사실→추론→최종 결론** 3단계로 구분해서 답변하세요:

1. [사실 검증 단계]  
- 질문과 관련된 공식 법령, 약관, 정책 등 핵심 근거를 명확히 나열하세요.
2. [추론 단계]  
- 위 사실을 바탕으로 논리적으로 결론을 도출하세요.
3. [최종 결론]  
- 근거와 추론 결과를 토대로, 고객 질문에 대한 최종 답변을 한 문장으로 요약하세요.

모든 단계는 번호로 구분해서 작성하세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[1단계: 사실 검증]
- 실물이전 신청 시, 녹취 전화는 일반적으로 해당 거래를 위해 담당자나 상담원이 실시하며, 보존되는 것이 일반적입니다.

[2단계: 추론]
- 실물이전 신청 시, 녹취 전화는 해당 거래와 관련된 일정 및 중요 정보에 대한 확인 및 기록을 위해 담당자 또는 상담원에게 전달될 수 있습니다.

[3단계: 최종 결론]
- 실물이전 신청 시, 녹취 전화는 거래와 관련된 정보 확인 및 기록을 위해 담당자나 상담원에게 전달됩니다. (신한은행 실물이전 관련 내부규정)  

퇴직연금 실물이전 신청 시, 녹취 전화는 담당자나 상담원에게 전달됩니다. 추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요.",345,5.16,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r2,cok,"
당신은 퇴직연금/연금/세무 분야의 여러 전문가들의 의견을 종합해 상담을 제공하는 역할입니다.
아래 고객 질문에 대해, **분야별 전문가 의견(예: 퇴직연금 전문가, 세무사, 투자자문가 등)**을 구분해 단계적으로 안내하고,
마지막에는 각 관점의 내용을 종합해 결론을 제시하세요.

(답변 예시)
- [퇴직연금 전문가 관점] ...
- [세무 전문가 관점] ...
- [투자자문가 관점] ...
- [최종 종합] 각 관점 내용을 바탕으로 결론 도출

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[퇴직연금 전문가 관점]
실물이전 신청 시, 녹취 전화는 퇴직연금 관련 담당자나 상담원 등의 관련 부서로 전달됩니다. 이는 실물이전 신청에 대한 내용 및 확인을 위해 진행되며, 고객의 안전을 위한 절차입니다.

[세무 전문가 관점]
실물이전 신청 시 발생하는 녹취 전화는 주로 퇴직연금 관련 담당자에게 전달됩니다. 녹취 내용은 실물이전 신청과 관련된 사항을 확인하거나 고객의 동의 내용을 확인하기 위한 목적으로 사용됩니다.

[투자자문가 관점]
실물이전 신청으로 인한 녹취 전화는 주로 퇴직연금 담당자나 관련 부서에 전달됩니다. 이는 고객의 실물이전 신청에 대한 정확한 처리와 안내를 위해 필요한 절차로, 고객의 요청에 따라 신속하게 처리됩니다.

[최종 종합]
실물이전 신청 시 발생하는 녹취 전화는 주로 퇴직연금 관련 담당자나 상담원 등의 관련 부서로 전달되며, 고객의 요청에 따라 안전하고 신속하게 처리됩니다.

[근거]
퇴직연금 관련 내부 규정 및 절차에 따름.",486,6.22,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r3,basic,"
당신은 대한민국 은행에서 일하는 퇴직연금 전문 상담사입니다.
아래의 고객 질문에 대해, 퇴직연금 제도(실물이전, 상품 추천, 퇴직금 계산, 중도인출 등)에 대해
정확하고 친절하게 안내해 주세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","**1줄 요약:** 실물이전 신청 시 녹취 전화는 신한은행으로 전달됩니다.

**핵심 안내:** 실물이전 신청 시, 녹취 전화는 고객 연락처로 직접 오는 것이 아닌, 관련 부서나 신한은행으로 전달됩니다.

**세부 절차/조건/유의사항:** 고객이 실물이전을 신청하면, 녹취 전화는 주로 신한은행 내부 관련 부서에 전달되어 내부 절차에 따라 처리됩니다. 고객은 직접 전화를 받을 필요는 없으며, 신한은행 담당자가 처리 상태를 안내해줄 것입니다.

**(출처):** 신한은행 내부 규정 및 상품 설명 자료

**후속 제안:** 추가로 궁금한 점이 있으시면 언제든지 다시 질문해주세요. 또는 실물이전이나 다른 서비스에 대한 상세한 상담이나 진행을 원하시면 신한은행 퇴직연금 상담센터(1577-xxxx)로 연락 주시거나 가까운 지점을 방문해 주세요.",415,7.82,N
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r3,cot,"
당신은 퇴직연금에 특화된 금융상담 전문가입니다.
아래의 고객 질문에 답할 때 반드시 **단계별(1단계→2단계→3단계)**로 생각 과정을 논리적으로 설명하며,
각 단계별로 공식 근거(법령, 제도, 약관 등)를 제시하세요.

[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?

(답변 예시)
1단계: 질문의 핵심 쟁점 확인  
2단계: 관련 법규/내규/약관 등 근거 자료 제시  
3단계: 위 근거를 바탕으로 결론 및 실무 안내
","[답변]
1단계: 실물이전 신청 시 녹취 전화 관련 핵심 쟁점은 이전 절차에서 녹취 전화가 누구에게 전달되는지에 대한 궁금함입니다.

2단계: 실물이전 신청 시 접수된 녹취 전화는 신한은행 퇴직연금 담당자에게 전달됩니다. 이는 퇴직연금제도 운영 건전성 감독을 위해 필요한 정보로 중요한 법적 근거를 갖습니다. 녹취 전화에 대한 처리는 사용목적, 요청하는 금융거래정보 등의 내용을 신속하고 정확하게 확인하여 고객의 정보를 안전하게 관리하기 위한 조치입니다.

3단계: 따라서, 실물이전 신청 시 녹취 전화는 신한은행 퇴직연금 담당자에게 전달되며, 해당 내용은 관련 법규에 따라 감독 및 안전한 정보 처리를 위한 조치로 이루어집니다. 이에 따라 고객의 안전 및 개인정보 보호를 위해 녹취 전화 처리 절차가 운영됩니다. (관련 법규: 퇴직연금제도 운영의 건전성에 필요한 최소한도의 금융거래정보 제공 요청, 녹취 전화 처리 및 관리에 대한 신한은행 내규)

퇴직연금 실물이전 신청 관련 추가로 궁금한 사항이 있으시면 언제든지 문의해 주세요.",522,6.83,Y
1,실물이전 신청하면 녹취 전화는 누구한테 가나?,r3,cove,"
당신은 대한민국 퇴직연금 전문 상담사입니다.
아래 질문에 답할 때, 반드시 다음과 같이 **사실→추론→최종 결론** 3단계로 구분해서 답변하세요:

1. [사실 검증 단계]  
- 질문과 관련된 공식 법령, 약관, 정책 등 핵심 근거를 명확히 나열하세요.
2. [추론 단계]  
- 위 사실을 바탕으로 논리적으로 결론을 도출하세요.
3. [최종 결론]  
- 근거와 추론 결과를 토대로, 고객 질문에 대한 최종 답변을 한 문장으로 요약하세요.

모든 단계는 번호로 구분해서 작성하세요.
[질문] 실물이전 신청하면 녹취 전화는 누구한테 가나?
","[1. 사실 검증 단계]
- 퇴직연금의 실물이전 절차에 관한 근거: 신한은행의 퇴직연금 상품 설명서 및 내부 규정

[2. 추론 단계]
- 실물이전은 퇴직연금을 다른 금융기관으로 옮기는 과정으로, 신청 후 이전 절차가 진행됩니다. 이때, 녹취 전화는 실물이전 신청자 본인에게 진행 상황을 안내하거나 추가 서류 요청 등에 관한 안내를 위해 해당 인물에게 일반적으로 전달됩니다.

[3. 최종 결론]
- 실물이전을 신청하면 녹취 전화는 실물이전 신청자 본인에게 전달됩니다. 

(출처: 신한은행 퇴직연금 상품 설명서)  
퇴직연금 실물이전 신청 시, 필요한 정보나 절차에 대한 안내를 위해 녹취 전화가 신청자에게 전달됩니다. 

퇴직연금 실물이전에 대한 추가 문의 사항이 있으시면 언제든지 문의해주세요.",391,8.91,Y
